date_time;uuid;Title/episode_title;seriesTitle;isEpisode;EPGgenre;providerId;providerType;production year;director orig;titleId;title_id provider;episode_number;season_number;domain;master_uuid;source(scheule/enrichment);seriesUUID;alternative title
26/10/20 01:25;87e5d98b-eee6-4173-8945-18f2913a110e;;grey's anatomy yr.17 ep.1;t;1;39152015;ibms;;;;;;;sky;;IBMS;;
29/10/20 18:02;87e5d98b-eee6-4173-8945-18f2913a110e;grey's anatomy yr.17 ep.1;grey's anatomy yr.17;t;1;39152015;ibms;2020;;;;1;17;sky;;SCHED;;
20/11/20 09:30;87e5d98b-eee6-4173-8945-18f2913a110e;tutte le feste di domani;grey's anatomy;t;1;datatv_p254826e1338597;datatv;2020;Allison Liddi-Brown;39152015;ibms;1;17;sky;;ENRICH;;
30/12/20 09:43;87e5d98b-eee6-4173-8945-18f2913a110e;grey's anatomy yr.17 ep.1 all tomorrow?s parties;grey's anatomy yr.17;t;1;39152015;ibms;2020;;;;1;17;sky;;SCHED;;
16/01/21 00:18;87e5d98b-eee6-4173-8945-18f2913a110e;Grey's Anatomy - Stag. 17 Ep. 1 - Tutte le feste di domani;Grey's Anatomy;t;1;;;2020;;;;1;17;sky;cd42c18c-66aa-4724-adb7-73dd74613838;FINALIZED;7eb208db-9e31-472d-bae3-9a8493b7595f;
11/11/20 19:35;9a3c89c7-02f2-4f2c-a472-efdf0fb9cf74;;grey's anatomy;t;1;datatv_p254826e1338598;datatv;;;;;2;17;sky;;SCHED;;
20/11/20 09:33;9a3c89c7-02f2-4f2c-a472-efdf0fb9cf74;il centro non regge;grey's anatomy;t;1;datatv_p254826e1338598;datatv;2020;Allison Liddi-Brown;39152016;ibms;2;17;sky;;ENRICH;;
24/11/20 15:41;9a3c89c7-02f2-4f2c-a472-efdf0fb9cf74;grey's anatomy yr.17 ep.2 the center won?t hold;grey's anatomy yr.17;t;1;39152016;ibms;2020;;;;2;17;sky;;SCHED;;
16/01/21 00:18;9a3c89c7-02f2-4f2c-a472-efdf0fb9cf74;Il centro non regge;Grey's Anatomy;t;1;;;2020;Kevin McKidd,Nicole Rubio,Debbie Allen,Allison Liddi-Brown;;;2;17;sky;;FINALIZED;7eb208db-9e31-472d-bae3-9a8493b7595f;[[ALT]]Il centro non regge[[ALT]]The Center Won?t Hold[[ALT]]Il centro non regge
11/11/20 19:35;cd42c18c-66aa-4724-adb7-73dd74613838;;grey's anatomy;t;1;datatv_p254826e1338597;datatv;;;;;1;17;sky;;SCHED;;
20/11/20 11:53;cd42c18c-66aa-4724-adb7-73dd74613838;Tutte le feste di domani;Grey's Anatomy;t;1;;;2020;Debbie Allen,Nicole Rubio,Kevin McKidd,Allison Liddi-Brown;;;1;17;sky;;FINALIZED;7eb208db-9e31-472d-bae3-9a8493b7595f;[[ALT]]Tutte le feste di domani[[ALT]]All Tomorrow?s Parties[[ALT]]Tutte le feste di domani
20/11/20 21:26;ce888e0d-8dfd-490c-9efb-af3a4dbfe257;my happy ending;grey's anatomy;t;1;datatv_p254826e1338599;datatv;;;;;3;17;sky;;SCHED;;
25/11/20 14:05;ce888e0d-8dfd-490c-9efb-af3a4dbfe257;my happy ending;grey's anatomy;t;1;datatv_p254826e1338599;datatv;2020;Allison Liddi-Brown;39152017;ibms;3;17;sky;;ENRICH;;
27/11/20 08:13;ce888e0d-8dfd-490c-9efb-af3a4dbfe257;il mio lieto fine;grey's anatomy;t;1;datatv_p254826e1338599;datatv;;;;;3;17;sky;;SCHED;;
30/12/20 09:44;ce888e0d-8dfd-490c-9efb-af3a4dbfe257;grey's anatomy yr.17 ep.3 my happy ending;grey's anatomy yr.17;t;1;39152017;ibms;2020;;;;3;17;sky;;SCHED;;
19/01/21 13:13;ce888e0d-8dfd-490c-9efb-af3a4dbfe257;Il mio lieto fine;Grey's Anatomy;t;1;;;2020;Debbie Allen,Allison Liddi-Brown,Kevin McKidd,Nicole Rubio;;;3;17;sky;;FINALIZED;7eb208db-9e31-472d-bae3-9a8493b7595f;[[ALT]]Il mio lieto fine[[ALT]]My Happy Ending[[ALT]]Il mio lieto fine
09/12/20 22:54;e10b98b3-44c9-4736-b1da-7e223d55bacd;fight the power;grey's anatomy;t;1;datatv_p254826e1338601;datatv;;;;;5;17;sky;;SCHED;;
15/12/20 14:46;e10b98b3-44c9-4736-b1da-7e223d55bacd;fight the power;grey's anatomy;t;1;datatv_p254826e1338601;datatv;2020;Allison Liddi-Brown;;;5;17;sky;;ENRICH;;
15/12/20 20:14;e10b98b3-44c9-4736-b1da-7e223d55bacd;combatti il potere;grey's anatomy;t;1;datatv_p254826e1338601;datatv;2020;Allison Liddi-Brown;39152019;ibms;5;17;sky;;ENRICH;;
21/12/20 18:46;e10b98b3-44c9-4736-b1da-7e223d55bacd;combatti il potere;grey's anatomy;t;1;datatv_p254826e1338601;datatv;;;;;5;17;sky;;SCHED;;
30/12/20 09:43;e10b98b3-44c9-4736-b1da-7e223d55bacd;grey's anatomy yr.17 ep.5 fight the power;grey's anatomy yr.17;t;1;39152019;ibms;2020;;;;5;17;sky;;SCHED;;
30/12/20 10:17;e10b98b3-44c9-4736-b1da-7e223d55bacd;Combatti il potere;Grey's Anatomy;t;1;;;2020;Debbie Allen,Allison Liddi-Brown,Kevin McKidd,Nicole Rubio;;;5;17;sky;;FINALIZED;7eb208db-9e31-472d-bae3-9a8493b7595f;[[ALT]]Combatti il potere[[ALT]]Fight the Power[[ALT]]Combatti il potere
02/12/20 22:41;e55bfa49-cd92-427a-83af-195a737ff5d1;you'll never walk alone;grey's anatomy;t;1;datatv_p254826e1338600;datatv;;;;;4;17;sky;;SCHED;;
09/12/20 10:33;e55bfa49-cd92-427a-83af-195a737ff5d1;you'll never walk alone;grey's anatomy;t;1;datatv_p254826e1338600;datatv;2020;Allison Liddi-Brown;;;4;17;sky;;ENRICH;;
14/12/20 09:57;e55bfa49-cd92-427a-83af-195a737ff5d1;non camminerai mai in solitudine;grey's anatomy;t;1;datatv_p254826e1338600;datatv;;;;;4;17;sky;;SCHED;;
