last_update;uuid;title;EPG genre;production year;providerId;providerId type;alternative titles
18/12/2020 20:18;7eb208db-9e31-472d-bae3-9a8493b7595f;Grey's Anatomy;1;2005;datatv_se94556;datatv;[[ALT]]Grey's Anatomy[[ALT]]Grey's Anatomy[[ALT]]Grey's Anatomy
13/01/2021 13:34;19e6c9f3-5c68-408c-9375-1c7a9a527400;Giardini da incubo;4;2014;datatv_se186440;datatv;[[ALT]]Giardini da incubo[[ALT]]Giardini da incubo[[ALT]]Giardini da incubo
19/01/2021 14:07;0890e604-7919-47d9-addd-44aceb2d19e6;Fotografi;4;2011;datatv_se182988;datatv;[[ALT]]Fotografi[[ALT]]Fotografi[[ALT]]Fotografi
14/01/2021 15:45;efff3208-9d54-4453-bdad-25b862e20cf9;Senza filtri;4;2017;datatv_se216442;datatv;[[ALT]]Senza filtri[[ALT]]Uncensored with Michael Ware[[ALT]]Senza filtri
15/01/2021 13:10;0cbe63c6-ccd0-4d5d-aad4-436394949340;Booba;6;2014;datatv_se215512;datatv;[[ALT]]Booba[[ALT]]Booba[[ALT]]Booba
13/01/2021 13:26;0828a35c-2e4d-4e24-8334-cee91222fd11;Aquarium: An Aquatic Life;4;2017;datatv_se233508;datatv;[[ALT]]Aquarium: An Aquatic Life[[ALT]]Aquarium: An Aquatic Life[[ALT]]Aquarium: An Aquatic Life
19/01/2021 14:11;35d3c518-03a5-4814-bd9f-3160d49dd4eb;Vita da ricchi;4;2015;datatv_se232911;datatv;[[ALT]]Vita da ricchi[[ALT]]How the Other Half Lives[[ALT]]Vita da ricchi
19/01/2021 14:15;b8428d1c-ac5e-4b95-8dca-150143e88ee5;The Last 24 Hours;4;2018;datatv_se238844;datatv;[[ALT]]The Last 24 Hours[[ALT]]The Last 24 Hours[[ALT]]The Last 24 Hours
19/01/2021 14:53;54a4b25c-7894-4abe-b274-e9c668c58674;Ogni Mattina;4;2020;datatv_se252057;datatv;[[ALT]]Ogni Mattina[[ALT]]Ogni Mattina[[ALT]]Ogni Mattina
15/01/2021 15:47;9d0e1979-39e3-42b9-918c-400e1495b6c3;I segreti del cibo;4;2012;datatv_se251557;datatv;[[ALT]]TÇnyleg °gy kÇszÅl?![[ALT]]Food Factory[[ALT]]I segreti del cibo
18/01/2021 20:17;a865d03d-a59d-41f1-94a4-9c5da9579378;Prada America's Cup;2;2020;datatv_se256389;datatv;[[ALT]]Prada America's Cup[[ALT]]Prada America's Cup[[ALT]]Prada America's Cup
18/01/2021 11:30;39d5e5b3-a9e9-42d5-9ff2-dc84a835981d;Rankin's Photo Project;4;2020;datatv_se256782;datatv;[[ALT]]Rankin's Photo Project[[ALT]]Rankin's Photo Project[[ALT]]Rankin's Photo Project
15/01/2021 16:21;b0e1e182-8af7-4880-940f-23202c858283;I Signori della vela;2;2021;datatv_se257195;datatv;[[ALT]]I Signori della vela[[ALT]]I Signori della vela[[ALT]]I Signori della vela
14/01/2021 11:31;6bd5fe0c-9137-4c25-9bc9-1c08c78257ad;Challengers for Now 1a parte;2;2021;datatv_se257196;datatv;[[ALT]]Challengers for Now 1a parte[[ALT]]Challengers for Now[[ALT]]Challengers for Now 1a parte
18/01/2021 13:03;0d077096-b8fe-4dee-9c76-14b7a8336623;Shark Academy - La serie;6;2019;datatv_se257234;datatv;[[ALT]]Shark Academy - La serie[[ALT]]Shark Academy - La serie[[ALT]]Shark Academy
15/01/2021 13:11;da1d1702-6a80-4ff8-9337-6d9095efbaf7;Campionati Mondiali M;2;2021;datatv_se257375;datatv;[[ALT]]Campionati Mondiali M[[ALT]]Campionati Mondiali M[[ALT]]Campionati Mondiali M
18/01/2021 08:57;c02711ce-c897-4fba-a319-512494d3f38e;UCL Special;2;2021;datatv_se257358;datatv;[[ALT]]UCL Special[[ALT]]UEFA Champions League Story[[ALT]]UCL Special
18/01/2021 08:24;1ffc5fb4-8c02-4f64-ada3-53d410092a72;Icarus Ultra;2;2021;datatv_se257356;datatv;[[ALT]]Icarus Ultra[[ALT]]Icarus Ultra[[ALT]]Icarus Ultra
18/01/2021 14:52;6388b171-05b0-4315-8595-0cc2cab0cd95;Ti spazzo in due;1;2020;datatv_se255387;datatv;[[ALT]]Ti spazzo in due[[ALT]]Ti spazzo in due[[ALT]]Ti spazzo in due
19/01/2021 09:59;c553e07b-4aad-4383-9a09-85323a75211d;Eurolega F;2;2021;datatv_se257574;datatv;[[ALT]]Eurolega F[[ALT]]Eurolega F[[ALT]]Eurolega F
